# VulnTrends — Vulnerabilities discovered (monthly)
# Generated: 2026-07-22T18:11:15.020Z
# Total records: 55879
# Records per source: mozilla=1104, chrome=1467, msrc=26737, apple=5790, projectzero=0, pan=25, fortinet=716, cisco=0, adobe=12, nvd=32985, osv=0
# Source: https://vulntrends.org
#date,manufacturer,count
2016-06,Apple,5
2016-06,Cisco,10
2016-06,Microsoft,37
2016-07,Adobe,83
2016-07,Apple,22
2016-07,Cisco,22
2016-07,Fortinet,2
2016-07,Microsoft,40
2016-07,Oracle,178
2016-08,Adobe,11
2016-08,Cisco,17
2016-08,Microsoft,27
2016-08,Oracle,2
2016-09,Adobe,39
2016-09,Apple,23
2016-09,Cisco,26
2016-09,Fortinet,5
2016-09,Microsoft,54
2016-09,Mozilla,20
2016-09,Oracle,3
2016-10,Adobe,88
2016-10,Cisco,30
2016-10,Fortinet,2
2016-10,Microsoft,36
2016-10,Mozilla,2
2016-10,Oracle,147
2016-11,Adobe,12
2016-11,Cisco,13
2016-11,Microsoft,68
2016-11,Mozilla,30
2016-12,Adobe,30
2016-12,Cisco,28
2016-12,Microsoft,41
2016-12,Mozilla,14
2016-12,Oracle,2
2017-01,Adobe,46
2017-01,Cisco,11
2017-01,Microsoft,4
2017-01,Mozilla,24
2017-01,Oracle,233
2017-01,Palo Alto,2
2017-01,Samsung,6
2017-02,Adobe,24
2017-02,Apple,48
2017-02,Cisco,29
2017-02,Fortinet,1
2017-02,Oracle,1
2017-03,Adobe,10
2017-03,Cisco,16
2017-03,Microsoft,136
2017-03,Mozilla,1
2017-03,Oracle,2
2017-03,Palo Alto,1
2017-03,Samsung,2
2017-04,Adobe,61
2017-04,Apple,48
2017-04,Cisco,26
2017-04,Fortinet,1
2017-04,Microsoft,43
2017-04,Mozilla,42
2017-04,Oracle,176
2017-04,Palo Alto,1
2017-04,Samsung,1
2017-05,Adobe,8
2017-05,Apple,20
2017-05,Cisco,27
2017-05,Fortinet,6
2017-05,Microsoft,69
2017-05,Oracle,2
2017-06,Adobe,22
2017-06,Cisco,36
